Sample,Date,Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
137,1-Jan,22:40,3528.658936,12.74211025,3592.814313,202.8952942
138,1-Jan,22:50,3581.540039,12.31826019,3562.990095,202.841095
139,1-Jan,23:00,3570.079102,12.41880989,3572.556143,202.4118042
140,1-Jan,23:10,3597.604004,12.54298973,3582.204643,201.6253052
141,1-Jan,23:20,3441.025879,12.67599964,3589.945634,199.3220978
142,1-Jan,23:30,3373.969971,13.00304985,3600,197.1307068
143,1-Jan,23:40,3369.812988,13.29767036,3600,196.4936066
144,1-Jan,23:50,3375.903076,12.84405994,3595.984792,195.3150024
145,2-Jan,0:00,3377.649902,12.70538998,3591.300461,196.0422058
146,2-Jan,0:10,3374.423096,12.1833601,3547.627655,197.7438965
147,2-Jan,0:20,3401.081055,12.20514011,3550.307222,196.8088074
148,2-Jan,0:30,3469.412109,12.60188007,3585.959181,193.8157043
149,2-Jan,0:40,3511.809082,12.84455013,3595.996394,194.3466034
150,2-Jan,0:50,3536.759033,12.49705982,3578.911555,196.009201
151,2-Jan,1:00,3467.808105,12.09607029,3536.105139,197.9526978
152,2-Jan,1:10,3460.677002,12.19612026,3549.206917,201.330307
153,2-Jan,1:20,3589.443115,12.55035019,3582.702554,201.1882019
154,2-Jan,1:30,3527.718994,12.6156702,3586.762967,202.6235962
155,2-Jan,1:40,3561.26709,13.10278034,3600,201.7666016
156,2-Jan,1:50,3604.068115,13.68774986,3600,199.0195007
157,2-Jan,2:00,3604.176025,14.10241985,3600,196.2552032
158,2-Jan,2:10,3593.200928,14.39330959,3600,195.8798981
159,2-Jan,2:20,3493.821045,14.07954979,3600,197.6403046
160,2-Jan,2:30,3470.701904,14.05440044,3600,197.2447968
161,2-Jan,2:40,3436.610107,13.51247025,3600,195.9954071
162,2-Jan,2:50,3401.455078,13.71004963,3600,192.4197998
163,2-Jan,3:00,3395.23291,13.7423296,3600,191.0137024
164,2-Jan,3:10,3417.503906,13.14186001,3600,192.2046967
165,2-Jan,3:20,3465.108887,12.86771011,3596.50506,192.771698
166,2-Jan,3:30,3467.417969,12.84727001,3596.060138,192.4705048
167,2-Jan,3:40,3522.406982,12.73211002,3592.421666,192.5679016
168,2-Jan,3:50,3510.10791,12.51620007,3580.322941,194.9992065
169,2-Jan,4:00,3513.844971,12.59866047,3585.767414,196.0422974
170,2-Jan,4:10,3564.008057,13.23031998,3600,196.4087982
171,2-Jan,4:20,3475.278076,13.0946703,3600,198.5249939
172,2-Jan,4:30,3561.990967,12.91687965,3597.329407,198.0101013
173,2-Jan,4:40,3521.554932,12.63354969,3587.762741,197.6634979
174,2-Jan,4:50,3493.60791,12.82567024,3595.524457,201.1040955
175,2-Jan,5:00,3555.304932,12.54162025,3582.111096,200.3634033
176,2-Jan,5:10,3377.12793,12.10496998,3537.337786,196.9826965
177,2-Jan,5:20,3479.626953,12.36250019,3567.394707,199.798996
178,2-Jan,5:30,3539.112061,12.60391045,3586.079315,201.2702942
179,2-Jan,5:40,3430.436035,12.21222019,3551.161616,198.9846039
180,2-Jan,5:50,3301.917969,11.98762035,3520.011831,202.5711975
181,2-Jan,6:00,3235.543945,11.67932987,3463.031603,200.7035065
182,2-Jan,6:10,3519.022949,12.46971989,3576.798254,197.8733978
183,2-Jan,6:20,3469.537109,12.49489975,3578.748756,201.1011047
184,2-Jan,6:30,3296.186035,11.78983021,3485.417643,200.3565979
185,2-Jan,6:40,3045.51001,10.90355015,3237.314957,199.4629059
186,2-Jan,6:50,3444.741943,12.18807983,3548.214895,202.7460022
187,2-Jan,7:00,3417.746094,11.97813034,3518.508247,199.4022064
188,2-Jan,7:10,2807.613037,10.67446995,3144.977295,197.2297058
189,2-Jan,7:20,2493.393066,9.69664669,2588.59196,200.3191986
190,2-Jan,7:30,3215.196045,11.41759014,3400.782508,200.488205
191,2-Jan,7:40,3589.590088,12.68927002,3590.573175,199.5281067
192,2-Jan,7:50,3599.149902,13.05860043,3600,200.6078033
193,2-Jan,8:00,3375.177002,11.52081966,3426.922472,195.8547058
194,2-Jan,8:10,3346.980957,11.51231003,3424.84719,197.7467041
195,2-Jan,8:20,3567.967041,12.41629982,3572.336603,199.1638031
196,2-Jan,8:30,3519.264893,12.16014957,3544.686608,198.3968964
197,2-Jan,8:40,3485.191895,11.67107964,3461.269666,194.6569977
198,2-Jan,8:50,3145.562988,11.14585972,3321.545696,195.8325043
199,2-Jan,9:00,2978.310059,10.77289963,3186.225079,193.1703949
200,2-Jan,9:10,3179.008057,10.92975998,3247.07462,195.0997009
201,2-Jan,9:20,3461.581055,12.14006042,3542.069502,198.2947998
202,2-Jan,9:30,3082.549072,11.19556046,3337.205225,200.7570038
203,2-Jan,9:40,3493.657959,12.94869041,3597.678446,204.0805969
204,2-Jan,9:50,3601.045898,14.87942982,3600,197.5942993
205,2-Jan,10:00,3597.564941,15.12405968,3600,196.3455963
206,2-Jan,10:10,3602.172119,16.29367065,3600,196.8367004
207,2-Jan,10:20,3601.99292,16.12397957,3600,192.2306061
208,2-Jan,10:30,3600.791016,15.27460003,3600,190.949295
209,2-Jan,10:40,3590.75,13.56672001,3600,192.9456024
210,2-Jan,10:50,3601.845947,15.36779976,3600,194.7528076
211,2-Jan,11:00,3601.870117,15.86174965,3600,195.0402985
212,2-Jan,11:10,3591.655029,14.92051029,3600,197.9895935
213,2-Jan,11:20,3579.024902,13.60853004,3600,201.4945068
214,2-Jan,11:30,3598.131104,14.46385956,3600,200.4884033
215,2-Jan,11:40,3525.333008,12.68828964,3590.527705,202.2259979
216,2-Jan,11:50,3560.699951,13.55690002,3600,202.153595
217,2-Jan,12:00,3537.676025,13.32281017,3600,203.2893982
218,2-Jan,12:10,3491.291016,12.60700989,3586.261512,201.0937042
219,2-Jan,12:20,3530.766113,12.31476021,3562.628404,197.5440979
220,2-Jan,12:30,2915.839111,10.3801899,3006.71767,200.9197998
221,2-Jan,12:40,2178.658936,9.11702919,2219.691985,201.0245056
222,2-Jan,12:50,2244.412109,9.253190994,2308.322526,198.9759979
223,2-Jan,13:00,1278.89502,9.072306633,2190.704763,198.2364044
224,2-Jan,13:10,2832.934082,10.34463024,2988.424599,196.6472015
225,2-Jan,13:20,3205.9729,11.10330963,3307.71074,200.1464996
226,2-Jan,13:30,3149.284912,11.06910992,3296.300642,198.8968048
227,2-Jan,13:40,3273.656006,11.32581043,3375.742901,201.1446075
228,2-Jan,13:50,3114.099121,11.01513958,3277.761152,204.9272003
229,2-Jan,14:00,3111.060059,10.90725994,3238.706158,204.813797
230,2-Jan,14:10,3361.011963,11.76941013,3481.44923,209.778595
231,2-Jan,14:20,3421.419922,11.87483025,3501.130346,209.6006012
232,2-Jan,14:30,3520.148926,12.16926003,3545.851555,208.3181
233,2-Jan,14:40,3589.427002,12.82061958,3595.389466,211.1817932
234,2-Jan,14:50,3495.115967,12.57161999,3584.095307,209.4647064
235,2-Jan,15:00,3298.761963,11.39929962,3395.929165,205.625
236,2-Jan,15:10,2894.440918,10.54543018,3087.174334,200.6107025
237,2-Jan,15:20,3486.628906,12.30932999,3562.063389,202.0561981
238,2-Jan,15:30,3455.24707,12.1683197,3545.731948,203.7207031
239,2-Jan,15:40,3556.785889,12.28707981,3559.699203,204.6085968
240,2-Jan,15:50,3375.582031,12.01319027,3523.986209,201.7415009
241,2-Jan,16:00,3493.979004,12.21352959,3551.318734,201.7156067
242,2-Jan,16:10,3549.147949,12.93774033,3597.57459,199.9685059
243,2-Jan,16:20,3483.315918,13.66942024,3600,203.870697
244,2-Jan,16:30,3589.858887,13.69785976,3600,204.8023071
245,2-Jan,16:40,3584.235107,12.75835991,3593.421089,202.6508026
246,2-Jan,16:50,3599.008057,12.76517963,3593.664238,201.2570953
247,2-Jan,17:00,3602.637939,13.07721996,3600,203.4407043
248,2-Jan,17:10,3550.563965,12.59340954,3585.451317,205.1535034
249,2-Jan,17:20,3552.782959,12.51366997,3580.139581,205.008194
250,2-Jan,17:30,3585.010986,12.53439999,3581.613183,204.1203003
251,2-Jan,17:40,3421.176025,11.96442986,3516.3102,201.9989014
252,2-Jan,17:50,3406.040039,11.94577026,3513.264349,194.3786926
253,2-Jan,18:00,3515.610107,12.20707989,3550.542117,189.5238037
254,2-Jan,18:10,3515.965088,12.2751503,3558.399068,190.5794983
255,2-Jan,18:20,3475.418945,12.72264004,3592.036307,187.6125031
256,2-Jan,18:30,3471.156982,12.26537037,3557.31619,189.4371948
257,2-Jan,18:40,3281.754883,11.70368958,3468.159913,192.2619019
258,2-Jan,18:50,2955.11499,10.96352959,3259.412905,190.4571991
259,2-Jan,19:00,3061.735107,11.29796982,3367.805139,192.8582001
260,2-Jan,19:10,2679.110107,10.66594982,3141.292611,194.0843964
261,2-Jan,19:20,2721.081055,10.8332901,3210.350601,195.2017975
262,2-Jan,19:30,2649.136963,10.57837009,3102.339998,195.3432007
263,2-Jan,19:40,2707.74292,10.38854027,3010.962279,201.797699
264,2-Jan,19:50,2508.832031,10.08041954,2841.099422,204.2073975
265,2-Jan,20:00,2316.647949,9.838738441,2687.688082,199.747406
266,2-Jan,20:10,3081.542969,11.43999958,3406.637064,200.2402954
267,2-Jan,20:20,3397.638916,11.94402981,3512.977172,201.1663971
268,2-Jan,20:30,3391.716064,11.85929012,3498.353994,201.7106018
269,2-Jan,20:40,3587.510986,12.81147957,3595.135782,201.3484955
270,2-Jan,20:50,3603.112061,12.91353989,3597.284381,201.6768951
271,2-Jan,21:00,3591.093018,12.72832012,3592.269026,202.4132996
272,2-Jan,21:10,3221.044922,11.66357994,3459.656972,202.6618958
273,2-Jan,21:20,2887.733887,11.0952301,3305.038612,204.061203
274,2-Jan,21:30,2364.534912,10.16094971,2888.183469,203.3379059
275,2-Jan,21:40,1935.847046,9.202415466,2275.211448,197.8013
276,2-Jan,21:50,1549.480957,8.539284706,1852.273851,195.5061035
277,2-Jan,22:00,1625.755981,8.809141159,2021.754239,187.4846039
278,2-Jan,22:10,1994.222046,9.608460426,2523.60898,188.0238953
279,2-Jan,22:20,2362,9.844923973,2691.848533,190.6604004
280,2-Jan,22:30,2097.771973,9.338670731,2364.198743,196.7335968
281,2-Jan,22:40,1564.590942,8.424916267,1781.899877,197.0158997
282,2-Jan,22:50,1107.474976,7.656233788,1339.713949,188.6903992
283,2-Jan,23:00,1303.116943,8.144581795,1613.847713,181.6596069
284,2-Jan,23:10,1561.182007,8.54713726,1857.140175,173.5366974
285,2-Jan,23:20,1544.999023,8.381804466,1755.627598,171.3834076
286,2-Jan,23:30,1456.738037,7.850449085,1445.553534,179.8197937
287,2-Jan,23:40,1795.644043,8.656551361,1925.374082,188.2382965
288,2-Jan,23:50,2773.291016,10.92311954,3244.617174,179.039093
289,3-Jan,0:00,2782.568115,10.4051199,3019.332696,176.9255981
290,3-Jan,0:10,2446.424072,9.498130798,2468.761378,174.677002
291,3-Jan,0:20,3412.39209,11.93025017,3510.684928,180.6725006
292,3-Jan,0:30,3255.337891,11.07629013,3298.717792,183.8755035
293,3-Jan,0:40,2796.876953,10.45788002,3045.466801,192.1911011
294,3-Jan,0:50,2467.954102,9.791149139,2655.255241,197.104599
295,3-Jan,1:00,1278.886963,7.626486778,1323.911052,202.940506
296,3-Jan,1:10,1042.537964,7.287635803,1150.913828,207.3871002
297,3-Jan,1:20,609.0761719,6.228209019,703.7205269,216.9989014
298,3-Jan,1:30,175.4407043,4.47162199,216.0170723,222.5090942
299,3-Jan,1:40,112.1109009,4.127829075,147.1041396,215.4514008
300,3-Jan,1:50,271.9171143,5.032844067,344.1094784,202.5102997
301,3-Jan,2:00,737.4487915,6.267045021,717.8434981,211.2003021
302,3-Jan,2:10,1375.579956,7.763337135,1397.52319,193.6107025
303,3-Jan,2:20,1520.890015,8.21955204,1658.119112,172.135498
304,3-Jan,2:30,1349.112061,7.974888802,1515.649475,168.3569031
305,3-Jan,2:40,889.1298218,6.794364929,926.0444806,171.1295013
306,3-Jan,2:50,412.115509,5.536108017,479.4472407,162.7037964
307,3-Jan,3:00,444.6036072,5.491714954,466.6197137,150.2816925
308,3-Jan,3:10,655.7307129,6.076754093,650.187023,149.6408997
309,3-Jan,3:20,882.5654297,6.69093895,882.7282325,152.2225037
310,3-Jan,3:30,998.3845825,6.848011971,949.0116113,157.1643066
311,3-Jan,3:40,1193.395996,7.759384155,1395.364787,152.699707
312,3-Jan,3:50,1122.712036,7.417626858,1215.659509,152.076004
313,3-Jan,4:00,1214.125977,7.472226143,1243.600054,154.7837982
314,3-Jan,4:10,1086.307007,7.080772877,1052.768027,160.2183075
315,3-Jan,4:20,1060.603027,7.053721905,1040.356847,165.8153992
316,3-Jan,4:30,1451.713989,7.766314983,1399.150382,170.8444977
317,3-Jan,4:40,1361.459961,7.833246231,1435.998878,173.0240936
318,3-Jan,4:50,1490.569946,7.959300995,1506.776853,173.9763947
319,3-Jan,5:00,1153.139038,7.283742905,1149.012424,176.7931976
320,3-Jan,5:10,953.9760132,7.001252174,1016.552582,178.0930023
321,3-Jan,5:20,799.0856934,6.758135796,910.7282546,174.0330048
322,3-Jan,5:30,616.2548218,6.179992199,686.4114027,167.9960022
323,3-Jan,5:40,646.9244995,6.301719189,730.5901706,168.8119965
324,3-Jan,5:50,1323.682007,7.517776966,1267.134969,184.7017975
325,3-Jan,6:00,1568.885986,8.094202995,1584.395551,194.0092926
326,3-Jan,6:10,1580.902954,7.854953766,1448.061049,197.8014984
327,3-Jan,6:20,1495.180054,7.719468117,1373.675076,191.2086945
328,3-Jan,6:30,2063.868896,8.847901344,2046.438946,195.0639038
329,3-Jan,6:40,2368.76001,9.631019592,2540.491731,198.074707
330,3-Jan,6:50,2516.419922,9.767664909,2638.971731,191.838501
331,3-Jan,7:00,2108.770996,9.185004234,2263.873095,190.0070038
332,3-Jan,7:10,2568.111084,9.927650452,2746.29034,179.3226929
333,3-Jan,7:20,3445.219971,12.03275967,3526.952507,175.9355011
334,3-Jan,7:30,2994.106934,10.87308979,3225.769174,180.7583008
335,3-Jan,7:40,2594.937012,10.38061047,3006.931915,177.4212036
336,3-Jan,7:50,2326.825928,10.34302044,2987.588083,164.6313934
337,3-Jan,8:00,1941.463989,9.283791542,2328.307526,157.3659973
338,3-Jan,8:10,1581.487061,8.263951302,1684.577838,151.1777039
339,3-Jan,8:20,1013.286987,7.161077023,1090.179344,144.4230042
340,3-Jan,8:30,375.6176147,5.502151966,469.6191644,145.3318024
341,3-Jan,8:40,198.1511993,4.645584106,253.4672425,155.7653046
342,3-Jan,8:50,87.44045258,3.847867012,100.642022,162.271698
343,3-Jan,9:00,189.1378021,4.553710938,233.4558636,148.0536041
344,3-Jan,9:10,434.4317932,5.735952854,539.5070619,136.6712036
345,3-Jan,9:20,336.5007935,5.057969093,350.3694191,139.4640045
346,3-Jan,9:30,296.6101074,4.922440052,317.1718028,141.7938995
347,3-Jan,9:40,92.9240036,3.821350098,96.25248176,148.5747986
348,3-Jan,9:50,85.70230103,3.580841064,61.57702143,165.8957062
349,3-Jan,10:00,309.5114136,4.716145039,269.2057367,187.6051941
350,3-Jan,10:10,381.1726074,5.080855846,356.114453,188.4362946
351,3-Jan,10:20,417.2662964,5.343267918,425.0226087,202.2389984
352,3-Jan,10:30,446.343811,5.452712059,455.4989836,201.0330963
353,3-Jan,10:40,206.6020966,4.29698801,180.2207304,191.4851074
354,3-Jan,10:50,251.3757019,4.736260891,273.7530825,183.4333954
355,3-Jan,11:00,275.0136108,4.780562878,283.8646662,187.9405975
356,3-Jan,11:10,314.2744141,4.894141197,310.4131199,180.8480072
357,3-Jan,11:20,238.7823029,4.487487793,219.355975,185.8578033
358,3-Jan,11:30,409.0264893,5.314783096,417.2631565,180.8168945
359,3-Jan,11:40,506.4703064,5.711400986,531.9193571,186.1788025
360,3-Jan,11:50,427.9566956,5.374886036,433.7182755,196.3742065
361,3-Jan,12:00,952.2675781,6.895505905,969.6346499,193.9367065
362,3-Jan,12:10,1019.905029,7.240921021,1128.237686,187.7236023
363,3-Jan,12:20,1015.357971,6.709988117,890.6123118,185.273407
364,3-Jan,12:30,979.7229004,6.851963043,950.7168123,183.7971039
365,3-Jan,12:40,379.4078979,5.078312874,355.4740901,185.1383972
366,3-Jan,12:50,841.5977783,6.521288872,814.34348,189.263504
367,3-Jan,13:00,672.6187744,6.171179771,683.2747912,189.2765045
368,3-Jan,13:10,452.0786133,5.449243069,454.5165791,190.636795
369,3-Jan,13:20,558.9979248,5.851128101,575.9105762,196.9326935
370,3-Jan,13:30,331.7192993,5.094088078,359.454764,193.4658051
371,3-Jan,13:40,212.1006927,4.598594189,243.1654974,197.9337006
372,3-Jan,13:50,79.72102356,3.629702091,67.87244481,199.7156067
373,3-Jan,14:00,183.0128021,4.472650051,216.232972,205.3706055
374,3-Jan,14:10,279.1960144,4.918616772,316.2552558,204.3323059
375,3-Jan,14:20,460.2166138,5.625835896,505.9378767,209.3771057
376,3-Jan,14:30,647.7111206,6.316774845,736.1652234,211.6537018
377,3-Jan,14:40,685.0780029,6.237164974,706.9630418,212.0509033
378,3-Jan,14:50,709.8339844,6.449378014,786.3313199,211.607605
379,3-Jan,15:00,493.3555908,5.782717228,554.1258994,212.3511047
380,3-Jan,15:10,366.0793152,5.346119881,425.803377,216.8318024
381,3-Jan,15:20,183.0379028,4.379333019,196.8860292,220.0410004
382,3-Jan,15:30,7.347679138,3.011370897,16.3742125,238.6905975
383,3-Jan,15:40,0,3.743307114,83.98626485,245.0682068
384,3-Jan,15:50,12.34420013,3.24625206,28.73127208,238.0765076
385,3-Jan,16:00,-0.393067598,2.185888052,0,238.4102936
386,3-Jan,16:10,0,2.142015934,0,234.7624054
387,3-Jan,16:20,0,2.501405954,0,223.3088074
388,3-Jan,16:30,0,2.668577909,0,226.0516968
389,3-Jan,16:40,0,3.034003019,17.18059304,221.0865021
390,3-Jan,16:50,0,3.197354078,25.43122108,232.6795959
391,3-Jan,17:00,0,3.907810926,110.9796039,241.9730988
